ts,counter,0
1664658509,1,0
1664658511,2,0
1664658513,3,0
1664658515,4,0
1664658517,5,0
1664658519,6,0
1664658521,7,0
1664658523,8,0
1664658525,9,0
1664658527,10,0
1664658529,11,0
1664658531,12,0
1664658533,13,0
1664658535,14,0
1664658537,15,0
1664658539,16,0
1664658541,17,0
1664658543,18,0
1664658545,19,0
1664658547,20,0
1664658549,21,0
1664658552,22,0
1664658554,23,0
1664658556,24,0
1664658558,25,0
1664658560,26,0
1664658562,27,0
1664658564,28,0
1664658566,29,0
1664658568,30,0
1664658570,31,0
1664658572,32,0
1664658574,33,0
1664658576,34,0
1664658578,35,0
1664658580,36,0
